redump_name,serial
"007 - Agent Under Fire (Europe) (En,Fr,De)",EA-013
007 - Agent Under Fire (USA),EA-013
007 - Everything or Nothing (Asia),EA-066
"007 - Everything or Nothing (Europe) (En,Es,It,Nl,Sv)",EA-066
"007 - Everything or Nothing (Europe) (Fr,De)",EA-066
007 - Everything or Nothing (USA),EA-066
007 - From Russia with Love (Asia),EA-121
"007 - From Russia with Love (Europe) (En,Fr,De,Es,It,Nl,Sv)",EA-121
007 - From Russia with Love (USA),EA-121
"007 - Nightfire (Europe) (En,Fr,De,Es,It,Nl,Sv)",EA-038
007 - Nightfire (USA),EA-038
"100 Best Xbox Games Game Disc, The (UK)",IM-001
100 Bullets (USA) (Proto) (2004-04-30),
"187 - Ride or Die (USA, Europe) (En,Fr,De,Es,It)",US-054
"20 Best Xbox Action Games Game Disc, The (UK)",IM-001
2002 FIFA World Cup (Europe),EA-011
2002 FIFA World Cup (France),EA-011
2002 FIFA World Cup (Germany),EA-011
2002 FIFA World Cup (Japan),EA-011
2002 FIFA World Cup (USA),EA-011
25 to Life (USA),ES-024
"4x4 Evo 2 (Europe) (En,Fr,De)",TT-001
4x4 Evo 2 (USA),TT-001
50 Cent - Bulletproof (France),VU-066
"50 Cent - Bulletproof (USA, Europe)",VU-066
"Advent Rising (Europe) (En,Fr,De)",MJ-009
Advent Rising (USA),MJ-009
Aeon Flux (Europe),MJ-020
"Aeon Flux (Europe) (En,Fr,De,Es)",MJ-020
Aeon Flux (USA),MJ-020
AFL Live 2003 (Australia),AC-013
AFL Live 2004 (Australia),AC-027
AFL Live Premiership Edition (Australia),AC-035
AFL Live Premiership Edition (Australia) (Rev 1),TQ-245
AFL Premiership (Australia),TQ-257
"Aggressive Inline (Europe) (En,Fr,De,Es)",AC-007
Aggressive Inline (USA),AC-007
"AirForce Delta II (Japan) (En,Ja)",KN-002
AirForce Delta Storm (USA),KN-002
AirForce Delta Storm (USA) (Rev 1),KN-002
"Alias (Europe) (En,Fr,De,Es,It)",AC-022
Alias (USA),AC-022
Alias (USA) (Demo),AC-122
"Alien Hominid (Europe) (En,Fr,De,Es,It)",ZD-004
Aliens Versus Predator - Extinction (Europe),VU-034
Aliens Versus Predator - Extinction (USA),VU-034
All-Star Baseball 2003 featuring Derek Jeter (Europe),AC-002
All-Star Baseball 2003 featuring Derek Jeter (Japan),AC-002
All-Star Baseball 2003 featuring Derek Jeter (USA),AC-002
All-Star Baseball 2004 featuring Derek Jeter (USA),AC-024
All-Star Baseball 2005 featuring Derek Jeter (USA),AC-028
Alter Echo (Europe),TQ-015
"Alter Echo (Europe) (Fr,De)",TQ-015
Alter Echo (USA),TQ-015
"American Chopper (USA, Europe)",AV-061
"American Chopper 2 - Full Throttle (USA, Australia)",AV-079
"American McGee Presents Scrapland (Europe) (En,Fr,De,Es,It)",EL-001
"American McGee Presents Scrapland (USA, Europe)",EL-001
America's Army - Rise of a Soldier (Europe),US-067
America's Army - Rise of a Soldier (USA),US-067
AMF Bowling 2004 (USA),BS-009
AMF Xtreme Bowling (USA),BS-020
"Amped - Freestyle Snowboarding (Europe) (En,Fr,De,Es,It)",MS-005
Amped - Freestyle Snowboarding (USA),MS-005
"Amped 2 (Asia) (En,Fr,De)",MS-065
"Amped 2 (Europe, Australia) (En,Fr,De)",MS-065
Amped 2 (USA),MS-065
"AND 1 Streetball (World) (En,Fr,De,Es,It)",US-086
Angelic Concert (Japan),SU-007
"Animaniacs - The Great Edgar Hunt (Europe) (En,Fr,De,Es,It)",IO-003
"Antz Extreme Racing (Europe) (En,Fr,De,Es,It)",EM-001
Antz Extreme Racing (USA),VU-009
Aoi Namida (Japan),IL-006
"Apex (Asia) (En,Fr,Es)",IG-021
"Apex (USA) (En,Fr,Es)",IG-021
Aquaman - Battle for Atlantis (USA),TM-003
"Arctic Thunder (Europe) (En,Fr,De)",MW-002
Arctic Thunder (USA),MW-002
"Area 51 (Europe) (En,Fr,De,Es,It)",MW-005
Area 51 (USA),MW-005
Arena Football (USA),EA-148
Armed and Dangerous (Asia),LA-013
"Armed and Dangerous (Europe) (En,Es,It)",LA-013
Armed and Dangerous (France),LA-013
Armed and Dangerous (Germany),LA-013
Armed and Dangerous (USA),LA-013
"Army Men - Major Malfunction (USA, Europe)",TT-136
"Army Men - Sarge's War (Europe) (En,Fr,De,Es,It)",TT-020
Army Men - Sarge's War (USA),TT-020
"Arx Fatalis (USA, Europe) (Beta) (2003-07-11)",
"Arx Fatalis (USA, Europe) (Beta) (2003-09-29)",
"Arx Fatalis (USA, Europe) (En,Fr,De,Es,It)",DC-002
"Atari Anthology (World) (En,Fr,De,Es,It)",IG-121
"ATV - Quad Power Racing 2 (Europe) (En,Fr,De,Es,It)",AC-010
ATV - Quad Power Racing 2 (USA),AC-010
August 2003 External Recovery (Build 5659) (USA),
"Auto Modellista (USA, Japan)",CC-014
"Azurik - Rise of Perathia (Europe) (En,Fr,De)",MS-007
Azurik - Rise of Perathia (USA),MS-007
"Backyard Wrestling - Don't Try This at Home (Europe) (En,Fr,De,Es,It)",ES-013
Backyard Wrestling - Don't Try This at Home (USA),ES-013
Backyard Wrestling 2 - There Goes the Neighborhood (Europe),ES-022
Backyard Wrestling 2 - There Goes the Neighborhood (USA),ES-022
Bad Boys - Miami Takedown (USA),EM-022
Bad Boys II (Europe),EM-008
"Bad Boys II (Europe) (Fr,Es,It)",EM-008
Bad Boys II (Germany),EM-008
"Baldur's Gate - Dark Alliance (Europe) (En,Fr,De,Es,It)",VN-006
Baldur's Gate - Dark Alliance (USA),VU-026
"Baldur's Gate - Dark Alliance II (Europe) (En,Es,It)",IP-010
"Baldur's Gate - Dark Alliance II (Europe) (En,Fr,De)",IP-010
Baldur's Gate - Dark Alliance II (USA),IP-010
Baldur's Gate - Dark Alliance II (USA) (Beta),
"Barbarian (Europe) (En,Fr,De,Es,It)",TS-002
"Barbie Horse Adventures - Wild Horse Rescue (Europe) (En,Fr,De,Es,It)",VU-042
Barbie Horse Adventures - Wild Horse Rescue (USA),VU-042
"Bard's Tale, The (Europe) (En,Fr,De,Es)",IX-001
"Bard's Tale, The (USA)",IX-001
"Baseball 2002, The - Battle Ball Park Sengen (Japan)",KA-002
Bass Pro Shops - Trophy Bass 2007 (USA),VU-073
Bass Pro Shops - Trophy Hunter 2007 (USA),VU-072
"Batman - Dark Tomorrow (Europe) (En,Fr,De,Es,It)",KB-001
Batman - Dark Tomorrow (Japan),KB-001
Batman - Dark Tomorrow (USA),KB-001
"Batman - Rise of Sin Tzu (Europe) (En,Fr,De,Es,It)",US-028
"Batman - Rise of Sin Tzu (USA) (En,Fr,Es)",US-028
"Batman - Vengeance (Europe) (En,Fr,De,Es,It)",US-001
"Batman - Vengeance (USA) (En,Fr,Es)",US-001
"Batman Begins (Europe) (En,Fr,De,Es,It,Nl,Sv)",EA-905
Batman Begins (USA),EA-905
"Battle Engine Aquila (Europe) (En,Fr,De,Es,It)",IG-016
Battle Engine Aquila (Korea),IG-016
Battle Engine Aquila (USA),IG-016
Battlefield 2 - Modern Combat (Asia),EA-098
Battlefield 2 - Modern Combat (Australia) (Demo),EA-127
"Battlefield 2 - Modern Combat (Europe) (En,Es,Nl,Sv)",EA-098
"Battlefield 2 - Modern Combat (Europe) (Fr,De,It)",EA-098
Battlefield 2 - Modern Combat (USA),EA-098
Battlefield 2 - Modern Combat (USA) (Demo),EA-127
"Battlestar Galactica (Europe) (En,Fr,De,Es,It)",VU-015
Battlestar Galactica (USA),VU-015
BDFL Manager 2003 (Germany),CM-004
BDFL Manager 2004 (Germany),CM-015
BDFL Manager 2005 (Germany),CM-074
"Beat Down - Fists of Vengeance (Europe) (En,Fr,De,Es,It)",CC-021
Beat Down - Fists of Vengeance (USA),CC-021
Beat Down (Japan),CC-021
"Beyond Good & Evil (Europe) (En,Fr,De,Es,It,Nl)",US-024
"Beyond Good & Evil (USA) (En,Fr,Es)",US-024
"Bible Game, The (USA)",CV-017
"Bicycle Casino Includes - Texas Hold'em (USA, Europe)",AV-064
Big Bumpin' (USA),MS-210
"Big Mutha Truckers (Europe) (En,Fr,De,Es,It)",EM-002
Big Mutha Truckers (USA),EM-002
"Big Mutha Truckers 2 - Truck Me Harder (Europe) (En,Fr,De,Es,It)",EM-023
Big Mutha Truckers 2 (USA),EM-023
"Bionicle (Europe) (En,Fr,De,Es,It,Da)",EA-057
Bionicle (USA),EA-057
Bistro Cupid (Japan),SU-001
Bistro Cupid 2 (Japan),SU-008
"Black (Europe) (En,Fr,De,Es,It)",EA-131
"Black (Europe, Australia) (Demo)",EA-131
Black (USA),EA-131
"Black Stone - Magic & Steel (USA, Europe)",XI-004
"Blade II (Europe) (En,Fr)",AV-005
Blade II (USA),AV-005
"Blazing Angels - Squadrons of WWII (USA, Europe) (En,Fr,De,Es,It)",US-087
"Blinx - The Time Sweeper (Asia) (En,Ja)",MS-019
"Blinx - The Time Sweeper (Europe) (En,Ja,Fr,De,Es,It)",MS-019
Blinx - The Time Sweeper (Japan) (Demo),MS-019
"Blinx - The Time Sweeper (Japan) (En,Ja)",MS-019
"Blinx - The Time Sweeper (USA) (En,Ja)",MS-019
"Blinx - The Time Sweeper (USA) (En,Ja) (Rev 1)",MS-019
"Blinx 2 - Masters of Time & Space ~ Blinx 2 - Battle of Time & Space (World) (En,Ja,Fr,De,Es,It)",MS-101
