Title,Disc_Serial
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan),SLPS-01311
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan),SLPS-02546
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan),SLPS-01986
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan),SLPS-02920
007 - Demain ne Meurt Jamais (France),SLES-02375
007 - Der Morgen Stirbt Nie (Germany),SLES-02376
007 - Die Welt Ist Nicht Genug (Germany),SLES-03136
007 - El Mundo Nunca es Suficiente (Spain),SLES-03137
007 - Le Monde ne Suffit Pas (France),SLES-03135
007 - The World Is Not Enough (Europe),SLES-03134
007 - The World Is Not Enough (Sweden),SLES-03138
007 - The World Is Not Enough (USA),SLUS-01272
007 - The World Is Not Enough (USA) (Beta) (2000-08-26),SLUS-00978
007 - Tomorrow Never Dies (Europe),SLES-01324
007 - Tomorrow Never Dies (Japan),SLPS-02604
007 - Tomorrow Never Dies (USA),SLUS-00975
007 Racing (Europe),SLES-03355
007 Racing (France),SLES-03356
007 Racing (Germany),SLES-03357
007 Racing (USA),SLUS-01300
1 on 1 (Japan),SLPS-01706
1 on 1 (Japan),SLPS-02298
1 on 1 (Japan) (Demo),SLPM-80351
100 Man Yen Quiz Hunter (Japan),SLPS-01730
100% Star (Europe),SLES-03784
100% Star (France),SLES-03658
10101 - Will the Starship (Japan),SLPS-01054
10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou),SLPM-80643
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan),SLPS-01865
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan) (Demo),SLPM-80181
1Xtreme (USA),SCUS-94503
"2002 FIFA World Cup (Europe) (En,Sv)",SLES-03830
2002 FIFA World Cup (France),SLES-03831
2002 FIFA World Cup (Germany),SLES-03832
2002 FIFA World Cup (Italy),SLES-03833
2002 FIFA World Cup (Spain),SLES-03834
"2002 FIFA World Cup (USA) (En,Es)",SLUS-01449
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),SLPS-02348
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),SLPS-02857
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),SLPS-91416
2Xtreme (Europe),SCES-00400
2Xtreme (USA),SCUS-94508
"3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)",SLES-03120
"360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)",SLES-02089
3D Baseball - The Majors (Japan),SLPS-00693
3D Baseball (USA),SLUS-00066
3D Kakutou Tkool (Japan),SLPS-01434
3D Lemmings (Europe),SCES-00009
3D Lemmings (Japan),SIPS-60002
3D Lemmings (USA),SCUS-94601
3D Mission Shooting - Finalist (Japan),SLPS-00461
3D Shooting Tkool (Japan),SLPS-00654
3D-Kaleidoscope - Baby Universe (Japan),SCPS-18006
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1),SLPS-00071
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2),SLPS-00072
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1),SLPS-01497
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 2),SLPS-01498
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 3),SLPS-01499
3Xtreme (USA),SCUS-94231
3Xtreme (USA) (Demo),SCUS-94365
40 Winks (Europe),SLES-01937
40 Winks (Europe) (Demo),SLED-02435
40 Winks (Italy),SLES-01940
40 Winks (Spain),SLES-01941
40 Winks (USA),SLUS-00874
"4-4-2 Soccer (Europe) (En,Fr,De,Es)",SLES-00095
"4x4 World Trophy (Europe) (En,Fr,De,Es,It)",SLES-02017
5 Star Racing (Europe),SLES-04064
50 por 15 - Quiere Ser Millonario (Spain),SLES-03481
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1),SLPS-01995
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2),SLPS-01996
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3),SLPS-01997
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4),SLPS-01998
70's Robot Anime - Geppy-X (Japan) (Demo),SLPM-80387
'98 Koushien - Koukou Yakyuu Simulation (Japan),SLPS-01204
'98 Koushien (Japan) (Demo),SLPM-80238
'99 Koushien (Japan),SLPS-02110
'99 Koushien (Japan) (Demo),SLPM-80421
A Ressha de Ikou 4 - Evolution (Japan),SLPS-00004
A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set),SLPS-00011
A Ressha de Ikou 4 - Evolution (Japan) (Rev 1),SLPS-00004
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)",SLPS-00125
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)",SLPS-91019
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),SLPS-02050
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),SLPS-02812
A Sangre Fria (Spain) (Disc 1),SCES-02153
A Sangre Fria (Spain) (Disc 2),SCES-12153
A Sangue Freddo (Italy) (Disc 1),SCES-02152
A Sangue Freddo (Italy) (Disc 2),SCES-12152
"A.IV - Evolution Global (Europe) (En,Ja,Fr,De)",SCES-00290
A2 Racer - Europa Tour (Netherlands),SLES-02695
"A5 - A Ressha de Ikou 5 (Japan, Asia)",SLPS-01120
"A5 - A Ressha de Ikou 5 (Japan, Asia)",SCPS-45153
"A5 - A Ressha de Ikou 5 (Japan, Asia)",SLPS-91124
AbalaBurn (Japan),SLPS-01280
Abe '99 (Japan) (Disc 1),SLPS-02095
Abe '99 (Japan) (Disc 2),SLPS-02096
Abe a GoGo (Japan),SLPS-01118
Abe a GoGo (Japan) (Demo),SLPM-80175
"Absolute Football (France) (En,Fr,De,Es,It,Pt)",SLES-01341
Ace Combat (Japan),SLPS-00061
Ace Combat (Japan),SLPS-91005
Ace Combat 2 (Europe),SCES-00699
Ace Combat 2 (France),SCES-00901
Ace Combat 2 (Germany),SCES-00902
Ace Combat 2 (Japan),SLPS-00830
Ace Combat 2 (Japan) (Rev 1),SLPS-00830
Ace Combat 2 (Japan) (Rev 1),SLPS-91146
Ace Combat 2 (USA),SLUS-00404
Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan),SLPM-80453
"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)",SCES-02066
Ace Combat 3 - Electrosphere (Japan) (Disc 1),SLPS-02020
Ace Combat 3 - Electrosphere (Japan) (Disc 1),SLPS-91214
Ace Combat 3 - Electrosphere (Japan) (Disc 2),SLPS-02021
Ace Combat 3 - Electrosphere (Japan) (Disc 2),SLPS-91215
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",SLPS-02020
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",SCPS-45397
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",SLPS-02021
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",SCPS-45398
Ace Combat 3 - Electrosphere (USA),SLUS-00972
Aces of the Air (USA),SLUS-01470
Acid (Japan),SLPS-02119
Acid (Japan) (Demo),SLPM-80430
Acid (Japan) (Major Wave),SLPM-86589
Aconcagua (Japan) (Disc 1),SCPS-10131
Aconcagua (Japan) (Disc 2),SCPS-10132
Action Bass (Europe),SLES-03105
Action Bass (Japan),SLPM-86927
Action Bass (USA),SLUS-01248
"Action Man - Destruction X (Europe) (En,Fr,De,Es,It)",SLES-03083
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",SLES-01761
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (EDC)",SLES-01761
Action Man - Operation Extreme (USA),SLUS-00887
Activision Classics (USA),SLUS-00777
"Actua Golf (Europe) (En,Fr,De)",SLES-00015
Actua Golf (Japan),SLPS-00298
Actua Golf 2 (Europe),SLES-00044
Actua Golf 3 (Europe),SLES-01042
"Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)",SLES-00188
Actua Ice Hockey (Japan),SLPM-86078
Actua Ice Hockey 2 (Europe),SLES-01226
Actua Pool (Europe),SLES-01647
Actua Soccer - Club Edition (Europe),SLES-00190
"Actua Soccer (Europe) (En,Fr)",SLES-00014
"Actua Soccer (Europe) (En,Fr) (Rev 1)",SLES-00014
Actua Soccer (Japan),SLPS-00297
"Actua Soccer 2 (Europe) (En,Fr)",SLES-00021
"Actua Soccer 2 (Germany) (En,De)",SLES-01029
Actua Soccer 2 (Italy),SLES-01028
Actua Soccer 3 (Europe),SLES-01210
Actua Soccer 3 (France),SLES-01644
Actua Soccer 3 (Germany),SLES-01645
Actua Soccer 3 (Italy),SLES-01646
Actua Tennis (Europe),SLES-00265
"Actua Tennis (Europe) (Fr,De)",SLES-01396
Addie no Okurimono - To Moze from Addie (Japan),SCPS-10126
Addie no Okurimono - To Moze from Addie (Japan) (Demo),PAPX-90105
"Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)",SLES-04108
Adibou et l'Ombre Verte (France),SCES-03558
"Adidas Power Soccer (Europe) (En,Fr,De,Es,It)",SLES-00189
"Adidas Power Soccer (UK) (En,Fr,De,Es,It) (Demo)",SLES-00066
Adidas Power Soccer (USA),SCUS-94502
Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe),SCED-00360
Adidas Power Soccer 2 (Europe) (Demo),SLED-00179
"Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)",SLES-00857
"Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)",SLES-01239
Adidas Power Soccer 98 (France) (Demo),SLED-01310
Adidas Power Soccer 98 (Germany) (Demo),SLED-01311
Adidas Power Soccer 98 (USA),SLUS-00547
"Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)",SLES-00270
