Scene Release,File Name,Game Title,Product Number,Redump Serial 1,Redump Serial 2,Redump Serial 3,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Redump,09 Chairs (Japan),09CHAIRES,HDR-0030,SCLX-2004 (8848),,,V1.050,19990625,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,A75D,MIL CD1/1,J,2799810,1MILSFD.BIN
Redump,"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",18WHEELER,MK-5106450,MK-51064-50,,,V1.700,20010430,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,4383,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Redump,18 Wheeler - American Pro Trucker (Japan),18WHEELER AMERICAN-PRO-TRUCKER,HDR-0080,HDR-0080,,,V1.006,20000909,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,C3EA,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Redump,18 Wheeler - American Pro Trucker (USA),18WHEELER,MK-51064,51064,,,V1.500,20010423,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,6F92,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Redump,21 - Two One (Japan),21-TWOONE-,T46503M,T-46504M,,,V1.003,20011118,Japan/Asia,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,B84B,GD-ROM1/1,J,0799800,1ST_READ.BIN
Redump,"4 Wheel Thunder (Europe) (En,Fr)",4WHEELTHUNDER,T-9706D-50,952-0063-50,,,V1.002,20000408,Europe,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,CEB0,GD-ROM1/1,E,0799A10,4WT.BIN
Redump,4 Wheel Thunder (USA),4WHEELTHUNDER,T-9708N,T-9708N,,,V1.002,20000405,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,1549,GD-ROM1/1,U,0799A10,4WT.BIN
Redump,4x4 Evo (USA),4X4 EVOLUTION,T41903N,T-41903N,,,V1.001,20001012,USA/Canada,SEGA LC-T-419,SEGA SEGAKATANA,SEGA ENTERPRISES,5737,GD-ROM1/1,U,2799811,0WINCEOS.BIN
Redump,"90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It)",90MINUTES -SEGA CHAMPIONSHIP FOOTBALL-,MK-5119050,MK-51190-50,,,V1.009,20010921,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,452D,GD-ROM1/1,E,0799810,1ST_READ.BIN
Redump,AM2 of CRI 2001 New Lineup Movie Collection (Japan),AM2 OF CRI 2001 NEW LINEUP MOVIE COLLECTION,6108018,610-8018,,,V1.002,20001216,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,EAC0,GD-ROM1/1,J,0219010,1ST_READ.BIN
Redump,Action Replay CDX - Demo Version (UK) (Unl),DATEL,HDR-0030,,,,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E,DATEL HDR,JUE,2799810,WWWSHARK.TXT
Redump,Action Replay CDX Version 3.0 (France) (Unl),DATEL,HDR-0030,HDR-0030,,,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E,DATEL HDR,JUE,2799810,WWWXXXXX.TXT
