File Name,Game Title,Product Number,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
102 Dalmatians - Puppies to the Rescue v1.000 (2000)(Eidos)(PAL)(GB)[!],102 DALMATIANS,T36813D 05,V1.000,20001120,Europe,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,EE38,GD-ROM1/1,E,0199A10,1ST_READ.BIN
102 Dalmatians - Puppies to the Rescue v1.000 (2001)(Eidos)(PAL)(M4)[!],102 DALMATIANS,T36813D 50,V1.000,20010110,Europe,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,DF21,GD-ROM1/1,E,0199A10,1ST_READ.BIN
102 Dalmatians - Puppies to the Rescue v1.001 (2000)(Eidos)(US)[!],102 DALMATIANS,T36803N,V1.001,20001026,USA/Canada,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,1AC5,GD-ROM1/1,U,0199A10,1ST_READ.BIN
18 Wheeler - American Pro Trucker v1.006 (2000)(Sega)(JP)[!],18WHEELER AMERICAN-PRO-TRUCKER,HDR-0080,V1.006,20000909,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,C3EA,GD-ROM1/1,J,0799A10,1ST_READ.BIN
18 Wheeler - American Pro Trucker v1.500 (2001)(Sega)(US)[!],18WHEELER,MK-51064,V1.500,20010423,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,6F92,GD-ROM1/1,U,0799A10,1ST_READ.BIN
18 Wheeler - American Pro Trucker v1.700 (2001)(Sega)(PAL)(M4)[!],18WHEELER,MK-5106450,V1.700,20010430,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,4383,GD-ROM1/1,E,0799A10,1ST_READ.BIN
21 - Two One v1.003 (2001)(Princess Soft)(JP)[!],21-TWOONE-,T46503M,V1.003,20011118,Japan/Asia,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,B84B,GD-ROM1/1,J,799800,1ST_READ.BIN
4 Wheel Thunder v1.002 (2000)(Midway)(PAL)(en-fr)[!],4WHEELTHUNDER,T-9706D-50,V1.002,20000408,Europe,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,CEB0,GD-ROM1/1,E,0799A10,4WT.BIN
4 Wheel Thunder v1.002 (2000)(Midway)(US)[!],4WHEELTHUNDER,T-9708N,V1.002,20000405,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,1549,GD-ROM1/1,U,0799A10,4WT.BIN
4X4 EVO v1.001 (2000)(GOD)(US)[!],4X4 EVOLUTION,T41903N,V1.001,20001012,USA/Canada,SEGA LC-T-419,SEGA SEGAKATANA,SEGA ENTERPRISES,5737,GD-ROM1/1,U,2799811,0WINCEOS.BIN
