No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
007 Shitou - The Duel (Japan),SEGA MEGA DRIVE,(C)T-48 1993.MAY,007 (James Bond)The Duel.,007 (James Bond)The Duel.,GM,T-48073,0,29510 (0x7346),J,55b39ad2405c4060cc50072c500b877f30a58694ea5a26884f6f2cdd6b7de4bf
10 Super Jogos (Brazil) (En),SEGA MEGA DRIVE,(C)SEGA 1997.May,SEGA TOP10,SEGA TOP10,GM,MK-1281,(unknown),53839 (0xD24F),F,5704029692c5f2c99ab9b5dd9e6d47f4eebb7aad7f6a07a2ca405d56a14e2f6a
16t (Japan) (Game no Kanzume Otokuyou),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,SEGANET GAME,SEGANET GAME,GM,00054503-00,(unknown),43497 (0xA9E9),J,44d8cd5b8355d223f281ce607657e36545f532ae22cba5ef484fefef62953a58
16t (Japan) (Game no Kanzume Vol. 2),SEGA MEGA DRIVE,(C)SEGA 1990.AUG,ｾｶﾞ･ﾈｯﾄ･ｶｰﾄﾘｯｼﾞ･「ゲーム図書館」,"SEGA NET CARTRIDGE ""GAME LIBRARY""",GM,00054503-00,(unknown),38667 (0x970B),J,a92162941fb568e306d02e4aa999cc748f2e4e26314ae8928a74e7c591f16bb3
16t (Japan) (SegaNet),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,SEGANET GAME,SEGANET GAME,GM,00054503-00,(unknown),13994 (0x36AA),J,94cfa6b26980c657db6e63c3e0062bf6186f7610f4b248bdc22299997c2468b4
2020 Nen Super Baseball (Japan),SEGA MEGA DRIVE,(C)T-50 1994.FEB,2020 SUPER BASEBALL,2020 SUPER BASEBALL,GM,T-106273-00,(unknown),21624 (0x5478),UJ,158421089ff076e9da73e501135b1e8f2d930ce4fd8b95bf599d21f40113035c
3 Ninjas Kick Back (USA),SEGA GENESIS,(C)T-1131994.OCT,3 NINJAS KICK BK,3 NINJAS KICK BK,GM,T-113076-00,(unknown),39386 (0x99DA),U,8cfdc448d06259ade9390aead7b997872f99bf88a89e4b247d8ccb4ce180f70b
"688 Attack Sub (USA, Europe)",SEGA GENESIS,(C)SEGA 1991.003,688 Attack Sub,688 Attack Sub,GM,MK-1401,0,28240 (0x6E50),U,21808f8bb13ed832d5b9318a1bca6b09f5b83532ec78a4a0320161411f7fab72
6-Pak (USA),SEGA GENESIS,(C)SEGA 1995.AUG,MEGAGAMES 6in1 US,MEGAGAMES 6in1 US,GM,MK-1717,0,5580 (0x15CC),4,121f7c8be8a4ba1d22d96494835a25973baaacd9ad3f54c1887c4512f994b82e
A Ressha de Ikou MD (Japan),SEGA MEGA DRIVE,(C)SEGA 1991.DEC,Ａ列車で行こうＭＤ,Ａ列車で行こうＭＤ,GM,G-4532,0,28745 (0x7049),J,212959128b6195029b2a4648bafab60c1fc697f4af2e822d86276109a64b3aa6
Aa Harimanada (Japan),SEGA MEGA DRIVE,(C)SEGA 1993.AUG,ああ播磨灘,(unknown),(unknown),G-4086,1,23561 (0x5C09),J,5e8628add0c73b852441c1885c14d175e8597108e81f7ffcc52ae7f4cc824f39
Aaahh!!! Real Monsters (Europe),SEGA MEGADRIVE,(C)T-1391995.DEC,NICKELODEON AAAHH!!! REAL MONSTERS,NICKELODEON AAAHH!!! REAL MONSTERS,GM,T139066-50,(unknown),27728 (0x6C50),8,9004f86d4296cd1dc7176f3ef3fe64cc7324a16811b638d2696e5511b5ccf840
Aaahh!!! Real Monsters (USA),SEGA GENESIS,(C)T-1391995.SEP,NICKELODEON AAAHH!!! REAL MONSTERS,NICKELODEON AAAHH!!! REAL MONSTERS,GM,T139066-00,(unknown),63343 (0xF76F),4,64922a43a51de265c97414a0fa67d10c0955533bdfdd3c5a41b4a996acf627ef
Academia do Saber (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)SEGA 2005.ABR,MEGA DRIVE 71J,MEGA DRIVE 71J,(unknown),TECTOY,2005,6155 (0x180B),U,7455f9f62fca2cdb1684dd54c8da27da336c0d3501fb188461223fff8be44939
"Addams Family Values (Europe) (En,Fr,De)",SEGA MEGA DRIVE,(C)T-16 1995.MAR,ADDAMS FAMILY VALUES,ADDAMS FAMILY VALUES,GM,T-164046-00,(unknown),25585 (0x63F1),8,4d56acdb7a419c464b0e612dce0ef3f3ced7665d40de8478264b0492d39f0da3
"Addams Family, The (USA, Europe)",SEGA GENESIS,(C)T-81 1993.OCT,ADDAMS FAMILY,ADDAMS FAMILY,GM,T-081236,0,57455 (0xE06F),UE,674adedc52f71cbe1fb9ebd2cf567ad13d6d0bcf1aeb330c4efb9c165c1356bf
Advanced Busterhawk Gley Lancer (Japan),SEGA MEGA DRIVE,(C)T-25 1992.APR,グレイランサー,GLEYLANCER,GM,T-25123,0,21400 (0x5398),J,fe508fd09187af3296d840ac5af66f3df68ddf4beb098c7a34037c0c818204c5
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A),SEGA MEGA DRIVE,(C)SEGA 1991.MAR,ADVANCED DAISENRYAKU,(unknown),GM,00005505-01,(unknown),53819 (0xD23B),J,47360b90ee077c2df7bb8f8bb6f46bbea25d7e5b1fd975cdf507c1048d80b062
