Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,CD_Number,Region,Compatible_Peripherals,Hardware_Identifier,Marker_ID
2do Aru Koto wa Sando R (Japan),SAND R,T-6802G,V1.003,19960307,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-68
2Tax Gold (Japan),NITAX_GOLD                                                                                         For JAPAN,T-4305G, V1.002,19961122,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-43
3D Baseball (USA),3D BASEBALL,T-15906H,V1.002,19961108,CD-1/1,U,JAT,SEGA SEGASATURN,SEGA TP T-159
3D Baseball - The Majors (Japan),3D BASEBALL THE MAJORS,T-18003G,V1.000,19961111,CD-1/1,J,JAT,SEGA SEGASATURN,SEGA TP T-159
3D Lemmings (Europe),LEMMINGS 3D,T-11304H,V3.08,19960530,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-113
3D Lemmings (Japan),LEMMINGS 3D,T-15013G,V3.100,19960612,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-150
3D Mission Shooting - Finalist (Japan),FINALIST,T-18511G,V1.000,19970619,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-185
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1),KYUSEIKOUSYU,T-21301G,V1.000,19960405,CD-1/3,J,J,SEGA SEGASATURN,SEGA TP T-213
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2),KYUSEIKOUSYU,T-21301G,V1.000,19960405,CD-2/3,J,J,SEGA SEGASATURN,SEGA TP T-213
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM),KYUSEIKOUSYU,T-21301G,V1.000,19960405,CD-3/3,J,J,SEGA SEGASATURN,SEGA TP T-213
6 Inch My Darling (Japan),6INCH MY DARLING,T-19721G,V1.001,19981025,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-197
"Actua Golf (Europe) (En,Fr,De)",ACTUA GOLF,T-12302H,V1.500,19961024,CD-1/1,E,JT,SEGA SEGASATURN,SEGA TP T-123
Actua Golf (Japan),ACTUA GOLF,T-18710G,V1.100,19961024,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-187
Actua Soccer (Japan),ACTUA SOCCER,T-18706G,V1.100,19960822,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-187
Actua Soccer - Club Edition (Europe),ACTUA SOCCER CLUB EDITION,T-12305H,V1.100,19970429,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-123
Advanced V.G. (Japan),ADVANCED V.G.,T-32501G,V1.001,19970113,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-325
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M),ADVANCED WORLD WAR SENNENTEIKOKUNO KOUBOU - LAST OF THE MILLENNIUM -,GS-9087,V1.004,19970219,CD-1/1,JT,JEA,SEGA SEGASATURN,SEGA ENTERPRISES
