Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
3D Lemmings v3.08 (1996)(Psygnosis)(PAL)[!],LEMMINGS 3D,T-11304H,V3.08,SEGA SEGASATURN,SEGA TP T-113,19960530,CD-1/1,J,E
A+M+O+K v1.003 (1997)(Sega)(PAL)(M6)[!],AMOK,MK-81064,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19970108,CD-1/1,JT,E
A+M+O+K v1.010 (1997)(Sega)(US)[!],AMOK,MK-81064,V1.010,SEGA SEGASATURN,SEGA ENTERPRISES,19961213,CD-1/1,JT,U
Actua Golf v1.500 (1996)(Gremlin)(PAL)(M3)[!],ACTUA GOLF,T-12302H,V1.500,SEGA SEGASATURN,SEGA TP T-123,19961024,CD-1/1,JT,E
Actua Soccer - Club Edition v1.100 (1997)(Gremlin)(PAL)[!],ACTUA SOCCER CLUB EDITION,T-12305H,V1.100,SEGA SEGASATURN,SEGA TP T-123,19970429,CD-1/1,J,E
After Burner II v1.001 (1996)(Sega)(JP)(en)[!][Sega Ages],AFTER BURNER 2,GS-9109,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960903,CD-1/1,JAE,JT
Airs Adventure v1.004 (1996)(Game Studio)(JP)[!],AIRSADVENTURE,T-20701G V,1.004,SEGA SEGASATURN,SEGA TP T-207,19961124,CD-1/1,JE,JT
Akumajou Dracula X - Gekka no Yasoukyoku v1.400 (1998)(Konami)(JP)[!],DRACULA-X,T-9527G,V1.400,SEGA SEGASATURN,SEGA TP T-95,19980427,CD-1/1,J,J
"Akumajou Dracula X - Gekka no Yasoukyoku v1.400 (1998)(Konami)(JP)[tr pt Silva, Rafael]",DRACULA-X,T-9527G,V1.400,SEGA SEGASATURN,SEGA TP T-95,19980427,CD-1/1,J,J
Alien Trilogy v1.000 (1996)(Acclaim)(PAL)(DE)[!],ALIEN TRILOGY,T-8113H-18,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960731,CD-1/1,J,E
Alien Trilogy v1.000 (1996)(Acclaim)(PAL)(M4)[!],ALIEN TRILOGY,T-8113H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960729,CD-1/1,J,E
Alone in the Dark - Jack is Back v1.100 (1996)(Infogrames)(PAL)(M5)[!][T-15101HP-00738 A],ALONE IN THE DARK JACK IS BACK,T-15101H,V1.100,SEGA SEGASATURN,SEGA TP T-151,19960212,CD-1/1,J,E
Andretti Racing v1.000 (1997)(EA Sports)(PAL)[!],EA_ANDRETTI,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19961125,CD-1/1,JS,E
Aquazone - Desktop Life v1.000 (1996)(9003)(JP)[!],AQUAZONE CD-ROM,GS-9023,V1.000,SEGA SEGASATURN,SEGA TP T-240,1996-06-28,CD1/1,J,J
Arcana Strikes v1.001 (1997)(Takara)(JP)[!],ARCANE STRIKES,T-10311G,V1.001,SEGA SEGASATURN,SEGA TP T-103,19971017,CD-1/1,J,J
Area 51 v1.000 (1996)(GT Interactive)(PAL)(M4)[!],AREA 51,T-25408H,V1.000,SEGA SEGASATURN,SEGA TP T-254,19961231,CD-1/1,JG,E
Asteroids Terra (2019-03-22)(Nova32 Animation Studios)(MX)(en),JO ENGINE,(unknown),V1.000,SEGA SEGASATURN,JO-ENGINE,20150923,CD-1/1,J,JTUE
Athlete Kings v1.001 (1996)(Sega)(PAL)[!],ATHLETE KINGS,MK-81115,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960719,CD-1/1,J,E
Atlantis - The Lost Tales v1.200 (1998)(Sega)(PAL)(M3)(Disc 1 of 2)[!],ATLANTIS CD1,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-1/2,J,E
Atlantis - The Lost Tales v1.200 (1998)(Sega)(PAL)(M3)(Disc 2 of 2)[!],ATLANTIS CD2,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-2/2,J,E
Baku Baku Animal - Sekai Shiiku Gakari Senshuken v1.001 (1995)(Sega)(JP)[!],BAKUBAKU ANIMAL,GS-9040,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19951110,CD-1/1,J,JT
Baku Baku v1.001 (1996)(Sega)(PAL)[!],BAKU BAKU ANIMAL,MK-81501,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960514,CD-1/1,J,E
Battle Arena Toshinden Remix v1.000 (1996)(Sega)(PAL)[!],Battle Arena Toshinden Remix,MK-81029V1,0,SEGA SEGASATURN,SEGA ENTERPRISES,19960226,CD-1/1,J,E
Battle Monsters v1.000 (1996)(Acclaim)(PAL)[!],BATTLE MONSTERS,T-8137H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960805,CD-1/1,J,E
Bio Hazard v1.002 (1997)(Capcom)(JP)[!],BIO HAZARD,T-1219G,V1.002,SEGA SEGASATURN,SEGA TP T-12,19970624,CD-1/1,J,J
Black Dawn v1.000 (1997)(Virgin)(PAL)[!],BLACKDAWN,T-7027H-50,V1.000,SEGA SEGASATURN,SEGA TP T-70,19970218,CD-1/1,JAT,E
Blam! -Machinehead v1.000 (1996)(Eidos)(PAL)(DE)[!],BLAM!           MACHINEHEAD,T-11505H50,V1.000,SEGA SEGASATURN,SEGA TP T-115,19960830,CD-1/1,J,E
Blam! -Machinehead v1.000 (1996)(Eidos)(PAL)[!],BLAM!           MACHINEHEAD,T-11505H50,V1.000,SEGA SEGASATURN,SEGA TP T-115,19960830,CD-1/1,J,E
Blast Chamber v1.000 (1996)(Activision)(PAL)(M5)[!],BLAST CHAMBER!,T-13003H50,V1.000,SEGA SEGASATURN,SEGA TP T-130,19961217,CD-1/1,JAT,E
Blast Chamber v1.000 (1996)(Activision)(US)[!],BLAST CHAMBER!,T-13003H,V1.000,SEGA SEGASATURN,SEGA TP T-130,19961126,CD-1/1,JAT,U
Blazing Dragons v1.000 (1996)(Crystal Dynamics)(PAL)(DE)[!],BLAZING DRAGONS,T-15913H18,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960719,CD-1/1,J,E
Blazing Dragons v1.000 (1996)(Mindscape)(US)[!],BLAZING DRAGONS,T-15907H,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960719,CD-1/1,J,U
Bootleg Sampler v1.000 (1996)(Sega)(PAL)[!][MK-81031P-00606 H],BOOTLEG SAMPLER,MK-81031 V,1,SEGA SEGASATURN,SEGA ENTERPRISES,19951107,CD-1/1,J,E
Brain Dead 13 v1.000 (1996)(Coconuts Japan)(JP)[!],BRAINDEAD_13,T-7305G,V1.000,SEGA SEGASATURN,SEGA TP T-73,19960823,CD-1/1,JT,J
Brain Dead 13 v1.000 (1996)(ReadySoft)(US)[!],BRAINDEAD_13,T-12103H,V1.000,SEGA SEGASATURN,SEGA TP T-121,19960819,CD-1/1,JT,U
