redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
"007 - From Russia with Love (Europe, Australia) (En,Fr,De,Es,It)",ULES-00288,,,,
"007 - From Russia with Love (UK) (En,Fr,De,Es,It)",ULES-00290,,,,
007 - From Russia with Love (USA),ULUS 10080,,,,
007 - Russia yori Ai o Komete (Japan),ULJM 05129,,,,
0-ji no Kane to Cinderella - Halloween Wedding (Japan),ROSE 00025, ULJM 06272,,,
100-Man Ton no Barabara (Japan),UCJS 10108,,,,
11eyes CrossOver (Japan),ULJM 05574,,,,
12-ji no Kane to Cinderella - Halloween Wedding (Japan),ULJM 06023,,,,
12Riven - The Psi-Climinal of Integral (Japan),ULJM 05743,,,,
"2 Games in 1! Archer Maclean's Mercury & Mercury Meltdown (USA) (En,Fr,Es)",ULUS 10568,,,,
2010 FIFA World Cup - Minami Africa Taikai (Japan),ULJM 05646,,,,
"2010 FIFA World Cup South Africa (Canada) (En,Fr)",ULUS-10517,,,,
"2010 FIFA World Cup South Africa (Europe) (En,Nl)",ULES-01412,,,,
"2010 FIFA World Cup South Africa (Europe) (Es,It)",ULES-01414,,,,
"2010 FIFA World Cup South Africa (Europe) (Fr,De)",ULES-01413,,,,
"2010 FIFA World Cup South Africa (Europe) (Fr,De) (Beta) (2010-02-10)",ULES-01413/1.00,,,,
2010 FIFA World Cup South Africa (USA),ULUS 10504,,,,
"300 - March to Glory (Europe) (En,Fr,De,Es,It)",ULES-00766,,,,
300 - March to Glory (USA),ULUS-10241,,,,
"3rd Birthday, The (Europe)",ULES-01513, ULES-01513/E,,,
"3rd Birthday, The (Japan)",ULJM 05798, ULJM 06008,,,
"3rd Birthday, The (USA)",ULUS-10567,,,,
428 - Fuusa Sareta Shibuya de (Japan),ULJS 00344,,,,
50 Cent - Bulletproof - G-Unit Edition (Australia),ULES-00452,,,,
50 Cent - Bulletproof - G-Unit Edition (Europe),ULES-00451,,,,
50 Cent - Bulletproof - G-Unit Edition (USA),ULUS-10128,,,,
7 At One Stroke - UMD Demo by Sony DCE (Europe),,,,,
"7 Wonders of the Ancient World (Europe) (En,Fr,De,Es,It)",ULES-01037,,,,
7 Wonders of the Ancient World (USA),ULUS-10227,,,,
77 - Beyond the Milky Way (Japan),ULJM 05877,,,,
7th Dragon 2020 (Japan),HSN-0021, ULJM 05923,,,
7th Dragon 2020-II (Japan),ULJM 06229,,,,
-8 (Japan),ULJM 06340, ULJM 06341,,,
A la croisee des mondes - La Boussole d'or (France),ULES-00951,,,,
Abunai - Koi no Sousa Shitsu (Japan),ULJM 06050,,,,
Accel World - Gin'yoku no Kakusei (Japan),ULJS 00510,,,,
Accel World - Kasoku no Chouten (Japan),ULJS 00512,,,,
"Ace Combat - Joint Assault (Europe) (En,Ja,Fr,De,Es,It)",ULES-01408,,,,
Ace Combat - Joint Assault (USA),ULUS 10511,,,,
"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",UCES-00423, UCES-00423#, UCES-00423/P,,
"Ace Combat X - Skies of Deception (Japan) (En,Ja,Fr,De,Es,It,Ko) (v2.00)",ULJS 19018,,,,
"Ace Combat X - Skies of Deception (Japan, Asia) (En,Ja,Fr,De,Es,It,Ko) (v1.01)",UCAS 40120, ULJS 00086,,,
"Ace Combat X - Skies of Deception (Korea) (En,Ko)",UCKS 45038, UCKS 45067,,,
"Ace Combat X - Skies of Deception (USA) (En,Ja,Fr,De,Es,It,Ko)",ULUS 10176,,,,
Ace Combat X2 - Joint Assault (Japan),ULJS 00290, ULJS 19057,,,
Aces of War (Europe),ULES-00590,,,,
Activision Hits Remixed (Europe),ULES-00640,,,,
Activision Hits Remixed (USA),ULUS-10186,,,,
Adventure Player (Japan),ULJS 00011,,,,
"Adventures to Go! (Europe) (En,Fr,De)",ULES-01383,,,,
Adventures to Go! (USA),ULUS-10417,,,,
Adventures to Go! (USA) (Beta) (2009-06-10),ULUS-10417,,,,
Aedis Eclipse - Generation of Chaos (USA),ULUS-10242,,,,
AFL Challenge (Australia),ULES-01299,,,,
"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It)",ULES-00753,,,,
"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It) (Alt)",ULES-00785,,,,
"After Burner - Black Falcon (USA) (En,Fr,Es,It,Nl)",ULUS-10244,,,,
Agarest Senki Mariage (Japan),ULJM 06100,,,,
AI Igo (Japan),ULJS 00008,,,,
AI Mahjong (Japan),ULJS 00007,,,,
AI Shougi (Japan) (v1.04),ULJS 00009,,,,
AI Shougi (Japan) (v2.00),ULJS 00009, ULJS 00101,,,
Air (Japan),ULJM 05282,,,,
Air Conflicts - Aces of World War II (USA),ULUS-10404,,,,
Airou de Puzzle (Japan),ULJM 06112,,,,
Akatsuki no Amaneka to Aoi Kyojin (Japan),ULJM 05846,,,,
Akatsuki no Goei Trinity (Japan) (Disc 1),ULJM 06174,,,,
