redump_name,serial,name,localizedName
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan),SLPS-01311,0 kara no Mahjong - Mahjong Youchien Tamago-gumi,０からの麻雀　麻雀幼稚園　たまご組
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan),SLPS-02546,,
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan),SLPS-01986,0 kara no Shougi - Shougi Youchien Ayumi-gumi,０からの将棋　将棋幼稚園　あゆみ組
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan),SLPS-02920,,
007 - Demain ne Meurt Jamais (France),SLES-02375,007 - Demain ne Meurt Jamais,
007 - Der Morgen Stirbt Nie (Germany),SLES-02376,007 - Der Morgen Stirbt Nie,
007 - Die Welt Ist Nicht Genug (Germany),SLES-03136,007 - Die Welt Ist Nicht Genug,
007 - El Mundo Nunca es Suficiente (Spain),SLES-03137,007 - El Mundo Nunca es Suficiente,
007 - Le Monde ne Suffit Pas (France),SLES-03135,007 - Le Monde ne Suffit Pas,
007 - The World Is Not Enough (Europe),SLES-03134,007 - The World Is Not Enough,
007 - The World Is Not Enough (Sweden),SLES-03138,007 - The World Is Not Enough,
007 - The World Is Not Enough (USA),SLUS-01272,007 - The World Is Not Enough,
007 - The World Is Not Enough (USA) (Beta) (2000-08-26),SLUS-00978,007 - The World Is Not Enough (Beta),
007 - Tomorrow Never Dies (Europe),SLES-01324,007 - Tomorrow Never Dies,
007 - Tomorrow Never Dies (Japan),SLPS-02604,007 - Tomorrow Never Dies,００７　～トゥモロー・ネバー・ダイ～
007 - Tomorrow Never Dies (USA),SLUS-00975,007 - Tomorrow Never Dies,
007 Racing (Europe),SLES-03355,007 Racing,
007 Racing (France),SLES-03356,007 Racing,
007 Racing (Germany),SLES-03357,007 Racing,
007 Racing (USA),SLUS-01300,007 Racing,
1 on 1 (Japan),SLPS-01706,1 on 1,１　ｏｎ　１　～ワン　オン　ワン～
1 on 1 (Japan),SLPS-02298,,
1 on 1 (Japan) (Demo),SLPM-80351,1 on 1 (Demo),ワン・オン・ワン
100 Man Yen Quiz Hunter (Japan),SLPS-01730,100 Man Yen Quiz Hunter,１００万円クイズハンター
100% Star (Europe),SLES-03784,100% Star,
100% Star (France),SLES-03658,100% Star,
10101 - Will the Starship (Japan),SLPS-01054,10101 - Will the Starship,１０１０１　～スターシップ・ウィル～
10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou),SLPM-80643,10th Anniversary Memorial Save Data (Disc 1) (PlayStation Taiou),
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan),SLPS-01865,19 ji 03 pun - Ueno-hatsu Yakou Ressha,
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan) (Demo),SLPM-80181,19 ji 03 pun - Ueno-hatsu Yakou Ressha (Taikenban),
1Xtreme (USA),SCUS-94503,1Xtreme,
"2002 FIFA World Cup (Europe) (En,Sv)",SLES-03830,2002 FIFA World Cup,
2002 FIFA World Cup (France),SLES-03831,2002 FIFA World Cup,Coupe du Monde FIFA 2002
2002 FIFA World Cup (Germany),SLES-03832,2002 FIFA World Cup,FIFA Fussball Weltmeisterschaft 2002
2002 FIFA World Cup (Italy),SLES-03833,2002 FIFA World Cup,Mondiali FIFA 2002
2002 FIFA World Cup (Spain),SLES-03834,2002 FIFA World Cup,
"2002 FIFA World Cup (USA) (En,Es)",SLUS-01449,2002 FIFA World Cup,
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),SLPS-02348,20 Seiki Striker Retsuden,
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),SLPS-02857,20 Seiki Striker Retsuden (Rerelease),
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),SLPS-91416,20-seiki Striker Retsuden - The 20th Century's Real Strikers,２０世紀ストライカー列伝
2Xtreme (Europe),SCES-00400,2Xtreme,
2Xtreme (USA),SCUS-94508,2Xtreme,
"3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)",SLES-03120,"3, 2, 1, Smurf! My First Racing Game",
"360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)",SLES-02089,360 Three Sixty,
3D Baseball - The Majors (Japan),SLPS-00693,3D Baseball - The Majors,３Ｄベースボール　～ザ・メジャー～
3D Baseball (USA),SLUS-00066,3D Baseball,
3D Kakutou Tkool (Japan),SLPS-01434,3D Kakutou Tkool,３Ｄ格闘ツクール
3D Lemmings (Europe),SCES-00009,3D Lemmings,
3D Lemmings (Japan),SIPS-60002,3D Lemmings,３Ｄレミングス
3D Lemmings (USA),SCUS-94601,3D Lemmings,
